날짜,VS,결과,점수,평균 평점,슈팅,유효슈팅,점유율,패스성공률,인터셉트,태클 성공,공중볼 경합 성공률,세이브,프리킥,코너킥,파울,경고,퇴장
2021년 12월 4일,광주FC,D,1:01,6.7,8,5,34.8,74.2,28,19,53.8,3,10,2,20,0,0
2021년 11월 28일,포항 스틸러스,D,0:00,6.7,11,3,46.2,67.3,30,13,71.6,4,18,9,23,1,0
2021년 11월 7일,강원FC,D,1:01,6.6,12,4,36.2,73.2,24,6,72.9,4,10,7,12,1,0
2021년 11월 3일,성남FC,D,1:01,6.5,6,3,43.1,68.3,26,4,53.6,1,16,4,19,3,0
2021년 10월 30일,FC서울,W,2:00,7,10,6,60.2,81.8,21,4,57.8,2,7,6,17,4,0
2021년 10월 24일,포항 스틸러스,W,1:00,6.8,9,5,27.4,69.8,29,8,58.2,2,14,3,14,1,0
2021년 10월 6일,강원FC,L,0:01,6.3,6,0,38.5,79,14,9,52.1,3,12,1,7,1,1
2021년 10월 2일,수원삼성 블루윙즈,L,0:01,6.3,9,4,53.1,81.1,19,8,42.6,0,9,4,18,4,0
2021년 9월 25일,전북 현대 모터스,L,0:02,6.3,8,2,60.7,84.3,15,5,46.7,3,24,4,13,2,0
2021년 9월 22일,FC서울,D,0:00,6.4,4,3,31.5,67,9,16,38.5,3,12,2,17,3,0
2021년 9월 19일,성남FC,L,0:01,6.4,9,2,48,73.7,24,9,61,2,13,2,18,1,0
2021년 9월 11일,제주 유나이티드,L,1:02,6.5,7,1,52,75.6,12,9,62.7,2,18,3,15,1,0
2021년 8월 29일,울산현대축구단,L,2:03,6.5,11,4,32,76.2,9,9,64.7,5,16,3,12,4,0
2021년 8월 25일,대구FC,W,2:00,7,10,4,41.6,80,7,9,44.9,5,24,0,11,1,0
2021년 8월 18일,성남FC,W,1:00,6.7,8,2,40.9,77,15,3,51.9,4,19,2,10,0,0
2021년 8월 15일,광주FC,L,0:01,6.3,14,0,53.4,77.9,13,12,37.7,5,17,5,17,1,0
2021년 8월 8일,수원FC,D,0:00,6.4,8,3,47.8,77.1,19,6,47.2,5,17,4,7,1,0
2021년 7월 31일,제주 유나이티드,W,4:01,7.2,13,6,41.1,78.3,12,15,43.8,5,12,1,13,2,0
2021년 7월 23일,수원삼성 블루윙즈,W,2:01,6.7,13,2,38.3,77.9,24,4,52.5,4,9,4,12,1,0
2021년 7월 14일,FC서울,W,1:00,6.7,6,6,41.3,81.6,8,13,41.9,1,7,2,14,1,0
2021년 5월 29일,전북 현대 모터스,D,1:01,6.6,12,5,39.1,73.4,25,13,44.6,3,12,3,15,2,0
2021년 5월 21일,수원FC,D,2:02,6.5,20,8,67.1,81.4,23,9,42.9,4,16,4,5,0,0
2021년 5월 15일,광주FC,W,2:01,6.8,16,5,58.2,80,10,10,52.7,5,12,4,13,3,0
2021년 5월 11일,포항 스틸러스,D,1:01,6.6,9,4,33.3,71.6,21,12,51,3,19,4,7,2,0
2021년 5월 8일,대구FC,L,0:03,6.1,6,2,68.7,85.8,23,6,63.9,1,17,4,15,2,0
2021년 5월 2일,강원FC,W,1:00,6.9,5,1,36.1,77.7,16,13,58.2,5,7,2,9,3,0
2021년 4월 25일,울산현대축구단,D,0:00,6.6,9,3,37.4,79.3,15,15,53.4,2,14,2,6,0,0
2021년 4월 21일,성남FC,W,3:01,7,7,4,45.4,71.7,23,8,51.6,3,15,0,17,1,0
2021년 4월 17일,제주 유나이티드,L,0:03,6.2,7,0,52.1,70.8,19,13,61.1,6,27,2,13,1,0
2021년 4월 11일,전북 현대 모터스,L,0:05,5.9,8,3,46,78,22,10,53.6,2,18,1,12,0,0
2021년 4월 7일,수원삼성 블루윙즈,D,0:00,6.4,11,3,42.9,71.8,11,12,53.3,3,16,3,20,2,0
2021년 4월 4일,광주FC,L,1:02,6.6,10,2,28,65.1,19,25,45.5,6,14,0,9,3,1
2021년 3월 21일,강원FC,L,0:02,6.2,7,2,54.8,77,13,7,59.1,2,14,3,16,1,0
2021년 3월 17일,수원FC,W,4:01,7,17,6,54.5,78.1,18,7,46.2,3,14,3,8,1,0
2021년 3월 13일,FC서울,L,0:01,6.5,11,1,35.3,66.7,26,6,58.6,4,13,5,9,0,1
2021년 3월 9일,울산현대축구단,L,1:03,6.3,10,4,38.2,77,28,12,51.4,5,19,3,10,2,0
2021년 3월 6일,대구FC,W,2:01,6.9,12,5,53.2,78,21,15,52.4,1,14,3,23,3,0
2021년 2월 28일,포항 스틸러스,L,1:02,6.4,4,1,40.2,76.6,25,15,43.8,5,16,2,13,3,0
